edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,15.0,15.0,15,0.0,15.0,[15]
BINANCE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
BINANCE->BITGET,1,4.0,4.0,4,0.0,4.0,[4]
COINBASE->BINANCE,1,15.0,15.0,15,0.0,15.0,[15]
COINBASE->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
COINBASE->BITGET,1,3.0,3.0,3,0.0,3.0,[3]
BYBITSPOT->BINANCE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->COINBASE,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->BITGET,0,0.0,0.0,0,0.0,0.0,[]
BITGET->BINANCE,1,4.0,4.0,4,0.0,4.0,[4]
BITGET->COINBASE,1,3.0,3.0,3,0.0,3.0,[3]
BITGET->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
