edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,21.0,21.0,21,0.0,21.0,[21]
BINANCE->BYBITSPOT,1,2.0,2.0,2,0.0,2.0,[2]
BINANCE->BITGET,1,5.0,5.0,5,0.0,5.0,[5]
COINBASE->BINANCE,1,21.0,21.0,21,0.0,21.0,[21]
COINBASE->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
COINBASE->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->BINANCE,1,2.0,2.0,2,0.0,2.0,[2]
BYBITSPOT->COINBASE,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BINANCE,1,5.0,5.0,5,0.0,5.0,[5]
BITGET->COINBASE,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
