date,venue,pair,abs_path,size_bytes,sha256,source_format
20250715,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BYBITSPOT/IDDI_5542a945__BTCUSDT.csv.gz,230666,c91df91961db2e4fe704b5da673c0516e567ec477165b1064089225dd1b884ef,v7
20250715,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BINANCE/IDDI_99764db3__BTCUSDT.csv.gz,146646265,6b939fd60c99f5240148a405315edb6a3b2e6a8af27b23b0e3b1144637f46872,v7
20250715,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BITGET/IDDI_15d3bc4f__BTCUSDT.csv.gz,8820767,a7879bd3b537221cb6782d9dd729b94d554442f0c46e74693fde89c5b0af2aeb,v7
20250714,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BYBITSPOT/IDDI_ca4f8f42__BTCUSDT.csv.gz,358844,80825c4826a67095acaf59ccced1bbbf34773c956eb87c23c5ff0903951acec3,v7
20250714,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BINANCE/IDDI_cc043262__BTCUSDT.csv.gz,155244332,f85192acc5f1f608257e2858fb7a5df4f2b6850748315a511b6f482855e5b2a4,v7
20250714,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BITGET/IDDI_43fb11bf__BTCUSDT.csv.gz,7762280,4be794da65a6c7bd1ff53ba6f6a2b401304c0869d94a6b93f631ff1e94716bb4,v7
20250716,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BYBITSPOT/IDDI_de61a508__BTCUSDT.csv.gz,424591,a87144a38545aaaa1b00c63f5ba48081d577eaa7867307536acdcd35279d8eff,v7
20250716,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BINANCE/IDDI_a252e314__BTCUSDT.csv.gz,94248820,9209bb89e594ccc40bf23a8f458a25807c0418b47e7076964e1003fb230acfdf,v7
20250716,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BITGET/IDDI_6694bf1e__BTCUSDT.csv.gz,6172999,c58651702d28d22d5256146eba92402974905aa75edb09e21fb1588438decb0e,v7
20250720,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-BYBITSPOT/IDDI_ccf48bc2__BTCUSDT.csv.gz,124526,fdf19ed4c9ace72fcf4327ca34f299842742361e60265ac543ef14c522233d0d,v7
20250720,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-BINANCE/IDDI_add07785__BTCUSDT.csv.gz,63062406,f0c915e3bb850326cf60300c8596c07ebdcd344478b2805e24f713a92ce24d4a,v7
20250720,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-BITGET/IDDI_23528582__BTCUSDT.csv.gz,4493073,ac00eecbece31c613a9fb151f2016d88f9b7d8a2feccc4e111ac815b8038cf34,v7
20250718,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BYBITSPOT/IDDI_612124ea__BTCUSDT.csv.gz,125870,2a5aaee9d1b6a7d645fffe9d20d7faa783c9002439c36a0616c0257f52dd17d2,v7
20250718,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BINANCE/IDDI_baec4221__BTCUSDT.csv.gz,108505677,ed751cc33ed2a005181f41dc5ad6202bfee54b0a0cf1c921e827e8281c5cfdaf,v7
20250718,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BITGET/IDDI_9b70324d__BTCUSDT.csv.gz,8100861,e99650b51783e2cbdd4dccd5e724d8bdcb51d71adf541e51644a8451e7409cd5,v7
20250719,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250719/E-BYBITSPOT/IDDI_dd6a9008__BTCUSDT.csv.gz,106925,7e17bf649083cc4bd7084b2a212a13b254a0b0cf91a112e314a57f8061a3a41f,v7
20250719,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250719/E-BINANCE/IDDI_e93d9c96__BTCUSDT.csv.gz,44460934,f6b313dc9cfee912ffbc73f1d7d71d05a9d9f6d19caddb017375ecc5d17d622a,v7
20250719,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250719/E-BITGET/IDDI_8d83be43__BTCUSDT.csv.gz,2718303,4f0a002daaf41866b9a807f23137c65c841263a7b1a4f0abc5eec1acf19d4501,v7
20250717,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BYBITSPOT/IDDI_3ef39ea3__BTCUSDT.csv.gz,230455,3c40623af0fe6ca028209aa4a93a1e23398747bf9f49e5c68da428235921861a,v7
20250717,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BINANCE/IDDI_71f4a849__BTCUSDT.csv.gz,91528325,f4b6d260e87c82c7a65d6142fafd43c193b8d8eba3546478e3ad8d4fc4c15324,v7
20250717,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BITGET/IDDI_7eba2b5e__BTCUSDT.csv.gz,7006905,32a36f65b1b05ec1bb43c56efbaf913f72ed5a5c2178e2adc59130c0b7bb731c,v7
