event_id,venue,round_level,burst_size,delta_beta,delta_tsi
0,BINANCE,107500.0,48,-0.0002613171147638767,-0.024862434562281436
1,BINANCE,108000.0,46,-0.00013531296937577118,0.13715666692113776
2,BINANCE,108500.0,48,0.002394220002014425,-0.022132239145531103
3,BINANCE,109000.0,48,0.0006573182072850154,-0.025651998602720306
4,BINANCE,109500.0,48,-0.0014615078494971086,-0.009740710237586925
5,COINBASE,107500.0,48,0.000512303164248475,-0.00026382914270577307
6,COINBASE,108000.0,46,-0.000982487683262025,-0.054741324757010074
7,COINBASE,108500.0,48,2.791708999848863e-05,0.12009523429326724
8,COINBASE,109000.0,48,0.001108651391039655,-0.010159392578814453
9,COINBASE,109500.0,48,-0.0016571126322285506,-0.009880085935670656
10,BYBITSPOT,107500.0,48,-0.0023877096381534862,0.06264787715527377
11,BYBITSPOT,108000.0,46,0.0012213520387514539,0.09852479291184463
12,BYBITSPOT,108500.0,48,-0.00023003458607401812,0.04946352807345122
13,BYBITSPOT,109000.0,48,-0.0012850065230361912,-0.16257676803045087
14,BYBITSPOT,109500.0,48,-0.0007658987351789798,0.015077836093196826
15,BITGET,107500.0,48,0.0008448913738210485,-0.013390813916650233
16,BITGET,108000.0,46,0.0020605383368715318,-0.046124380641202944
17,BITGET,108500.0,48,0.0004649083546323642,0.1346095174915635
18,BITGET,109000.0,48,-0.0012746087192514605,0.07905365641719532
19,BITGET,109500.0,48,0.0024645576400512356,-0.06541244708821213
20,BINANCE,108500.0,48,0.002052204600372539,0.06350673208521747
21,BINANCE,109000.0,42,0.0002943868383552425,-0.003961140080897297
22,BINANCE,109500.0,43,-3.1143800453841735e-05,0.13207229433738876
23,BINANCE,109912.4,48,-0.0006562476573336586,-0.04255387432127912
24,BINANCE,110000.0,48,0.00010052465499387922,0.019277403332281035
25,BINANCE,110500.0,48,-5.5303292227111916e-05,0.030965384405225217
26,BINANCE,111000.0,48,6.067442041188806e-05,-0.05498754063526145
27,BINANCE,111500.0,48,0.002781383943287057,-0.13240105766357707
28,COINBASE,108500.0,48,-0.0011172458800393892,0.10268394967830625
29,COINBASE,109000.0,42,-0.0015320794891166244,-0.07367511400098842
30,COINBASE,109500.0,47,-0.0020066545439568263,-0.08539006260512437
31,COINBASE,109907.51,48,-0.0017398879867921648,-0.09518989698465574
32,COINBASE,110000.0,48,-9.100999629191058e-05,-0.15325312295606996
33,COINBASE,110500.0,48,0.0011871543551549668,0.11342297714395988
34,COINBASE,111000.0,48,0.0004115533196060937,-0.03544997688489205
35,COINBASE,111500.0,48,0.0007597683491114371,0.11393964365498832
36,BYBITSPOT,108500.0,48,0.0009242196420766851,-0.1058204063923949
37,BYBITSPOT,109000.0,42,-0.0004910202221500073,0.11579247897658634
38,BYBITSPOT,109500.0,43,0.0006084523660403696,-0.0895160517304498
39,BYBITSPOT,109905.0,48,-0.00017336605806155564,-0.2614367482686682
40,BYBITSPOT,110000.0,48,-0.00022992043240697437,-0.1616586898987541
41,BYBITSPOT,110500.0,48,-0.000191666383979346,-0.0903692148899769
42,BYBITSPOT,111000.0,48,-0.001647183820831027,-0.2301668229134055
43,BYBITSPOT,111500.0,48,-0.00017432245021531138,0.08580369824828271
44,BITGET,108500.0,48,-0.0014237264086167905,0.034826503050178016
45,BITGET,109000.0,42,-0.0005445421068563572,-0.226698016144684
46,BITGET,109500.0,47,-0.0010039570847467604,-0.00209772729929346
47,BITGET,109910.16,48,-0.0010672592618581269,-0.01326285688595414
48,BITGET,110000.0,46,-0.0010538313778107415,-0.07781203461178891
49,BITGET,110500.0,48,-0.00044113735126166746,0.02547986512417094
50,BITGET,111000.0,48,-0.0028333390238556543,0.03373804587957276
51,BITGET,111500.0,48,-0.00034480672468887663,0.011238303306343778
52,BINANCE,111000.0,48,0.00011033559050466202,0.07482052817149601
53,BINANCE,111500.0,48,-0.00018823410192810464,-0.07828463272943884
54,BINANCE,111771.52,48,-9.368458852949886e-05,0.17950294477353917
55,BINANCE,112000.0,48,0.0008927629164890656,-0.10663249833812578
56,BINANCE,112500.0,48,0.0006474485471291944,-0.0806850969242758
