event_id,date,venue_event,venue_i,venue_j,lag,anchor_type,synthetic_price,delta_beta,delta_tsi,p_delta_beta,notes
0,20250901,BINANCE,BINANCE,COINBASE_0,0,±25bps,107768.75,0.00027092539105075004,-0.02031777445376601,0.5784350327826179,anchor_conditioned_placebo
0,20250901,BINANCE,BINANCE,COINBASE_1,0,±25bps,107231.25,-0.00018111150954060144,-0.17385123987457637,0.8118566684341645,anchor_conditioned_placebo
0,20250901,BINANCE,BINANCE,COINBASE_2,0,±50bps,108037.49999999999,0.00015085771356960082,-0.017946885928434315,0.6459553069457324,anchor_conditioned_placebo
0,20250901,BINANCE,BINANCE,COINBASE_3,0,±50bps,106962.5,8.527619868846801e-05,0.05143290390754033,0.6838943871772434,anchor_conditioned_placebo
0,20250901,BINANCE,BINANCE,COINBASE_4,0,±75bps,108306.25,0.00047077325451636503,0.023386926814811138,0.20502709162860377,anchor_conditioned_placebo
0,20250901,BINANCE,BINANCE,COINBASE_5,0,±75bps,106693.75,0.0009728122918157814,0.001384384264008407,0.29064768507819994,anchor_conditioned_placebo
1,20250901,BINANCE,BINANCE,COINBASE_0,0,±25bps,108270.0,-1.6086423802540433e-05,-0.13928143631941078,0.6738320397837728,anchor_conditioned_placebo
1,20250901,BINANCE,BINANCE,COINBASE_1,0,±25bps,107730.0,-0.000818853692018031,0.07561624391915905,0.38268066290206937,anchor_conditioned_placebo
1,20250901,BINANCE,BINANCE,COINBASE_2,0,±50bps,108539.99999999999,0.0025175822437704396,0.07196682554465876,0.5901537938047515,anchor_conditioned_placebo
1,20250901,BINANCE,BINANCE,COINBASE_3,0,±50bps,107460.0,0.000354036667908755,0.004471869017185075,0.42349063639619267,anchor_conditioned_placebo
1,20250901,BINANCE,BINANCE,COINBASE_4,0,±75bps,108810.0,6.392082101199431e-05,-0.0027017524273061696,0.2886465308312125,anchor_conditioned_placebo
1,20250901,BINANCE,BINANCE,COINBASE_5,0,±75bps,107190.0,-0.0005039884092098312,0.04960627851770024,0.7412162667633628,anchor_conditioned_placebo
2,20250901,BINANCE,BINANCE,COINBASE_0,0,±25bps,108771.25,0.0006385661182705055,0.14654662677992844,0.16127759109911022,anchor_conditioned_placebo
2,20250901,BINANCE,BINANCE,COINBASE_1,0,±25bps,108228.75,0.0013557732708528358,-0.07748121794347833,0.3920340802764992,anchor_conditioned_placebo
2,20250901,BINANCE,BINANCE,COINBASE_2,0,±50bps,109042.49999999999,-0.001401274110212246,-0.002905946941475624,0.32788358019404595,anchor_conditioned_placebo
2,20250901,BINANCE,BINANCE,COINBASE_3,0,±50bps,107957.5,0.0006384779158540749,0.032270678946725216,0.6968237849226477,anchor_conditioned_placebo
2,20250901,BINANCE,BINANCE,COINBASE_4,0,±75bps,109313.75,-4.510182927087937e-05,-0.10118002772702461,0.22580476633416444,anchor_conditioned_placebo
2,20250901,BINANCE,BINANCE,COINBASE_5,0,±75bps,107686.25,-0.0005855450963897342,-0.10358444364093178,0.3013915032182258,anchor_conditioned_placebo
3,20250901,BINANCE,BINANCE,COINBASE_0,0,±25bps,109272.5,-7.117760250868427e-05,-0.07048844677918593,0.3325299621137966,anchor_conditioned_placebo
3,20250901,BINANCE,BINANCE,COINBASE_1,0,±25bps,108727.5,-0.0006629800542375604,0.06693243702460641,0.5593789685924457,anchor_conditioned_placebo
3,20250901,BINANCE,BINANCE,COINBASE_2,0,±50bps,109544.99999999999,0.0023575252939357985,-0.1013731540190309,0.3573339730280589,anchor_conditioned_placebo
