edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,7.0,7.0,7,0.0,7.0,[7]
BINANCE->BYBITSPOT,1,12.0,12.0,12,0.0,12.0,[12]
BINANCE->BITGET,1,7.0,7.0,7,0.0,7.0,[7]
COINBASE->BINANCE,1,7.0,7.0,7,0.0,7.0,[7]
COINBASE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
COINBASE->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->BINANCE,1,12.0,12.0,12,0.0,12.0,[12]
BYBITSPOT->COINBASE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->BITGET,1,3.0,3.0,3,0.0,3.0,[3]
BITGET->BINANCE,1,7.0,7.0,7,0.0,7.0,[7]
BITGET->COINBASE,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BYBITSPOT,1,3.0,3.0,3,0.0,3.0,[3]
