date,venue,pair,abs_path,size_bytes,sha256,source_format
20250928,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250928_BTCUSDT.csv.gz,7336598,3fa513320f97783d914a8ed4ff192693bf2059dcd353ddf7129277f2730e798d,v6
20250922,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250922_BTCUSDT.csv.gz,44985199,125afe132be62f27e5f5ce07970cd5c28f1202d67a7873506883b9756f578a89,v6
20250925,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250925_BTCUSDT.csv.gz,57548044,cf91f91e2f55d1bb8dba8c3a0d0fe1fad047353f1e1b194589f7762f9d6ba94c,v6
20250927,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250927_BTCUSDT.csv.gz,4851370,9a266e8937fd3b2ec0e8932fc03c67c2e16f7099730c2b814c1e2b6cbf7a9d89,v6
20250926,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250926_BTCUSDT.csv.gz,9374436,f8b47a75bc9aaf294b5024a3ae07dfe3407d43526f295a6734c28b79ab59d7ac,v6
20250924,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250924_BTCUSDT.csv.gz,36173826,65862d755ae16bc9349733e7f58515300a292d896a20a8dc0428be287da74340,v6
20250923,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250923_BTCUSDT.csv.gz,27653705,ad96cfbcb68474f29301090f01de88abd2194790667a684b30d75b8f100980bd,v6
20250923,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250923_BTCUSDT.csv.gz,15873032,f9b5e119d0913f8e4ed5c782484211761e1c3c88f74f43fd5eb79c27fb627dd5,v6
20250924,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250924_BTCUSDT.csv.gz,14926326,e8abf9b27d0111e37f22935d8e9e379dafc340c472add1638ae494a671ec9edf,v6
20250926,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250926_BTCUSDT.csv.gz,43057789,e78aaf4f47309c17869d246d100d6d672b30efe0206d7895636cb97bbb308cf9,v6
20250927,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250927_BTCUSDT.csv.gz,20994523,69db8fdf620619d34dd983d63131cab4f17ffdaa1e427938b7d5f38a86d42d42,v6
20250925,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250925_BTCUSDT.csv.gz,13304669,93412999bc03adebcd1cea8f8638c976fc81e67588bc31d9520a7bb709d6433b,v6
20250928,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250928_BTCUSDT.csv.gz,24357302,451573add68a45cd9abc5f5cc9be97fabff5776f7d7022faad7d4d0446286d4f,v6
20250922,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250922_BTCUSDT.csv.gz,24149919,d217caaba0d058e2a7d6ee2846fa86b6d00e320a782a9a50a7d2dc337bba447e,v6
