date,venue,pair,abs_path,size_bytes,sha256,source_format
20251005,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251005_BTCUSDT.csv.gz,19591185,6e2d7a0462de18af183db401d39b6017116eb45d4fda1380e0205301c502f8c4,v6
20250930,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250930_BTCUSDT.csv.gz,32399679,5092823992da41da0304daa8fc10f904d712dbd2d32ec9891aa63dbc50eaac7d,v6
20251002,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251002_BTCUSDT.csv.gz,11465559,5e5c48a9a900008b893fa02231e1ca9b2fee6c602797cde4ec3427fb75af3a3c,v6
20251003,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251003_BTCUSDT.csv.gz,12499997,4fd70ea75b81f29edd476889d6f9c7a692022cae60ba3cde2ae22261ee7092ea,v6
20251001,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20251001_BTCUSDT.csv.gz,50675730,3ccec5210eb438b134fbf9610a8d282cc668d744332db84dd101915213da0bd3,v6
20251004,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251004_BTCUSDT.csv.gz,8000221,d75aee1ca4cae743fd9db97694f00615c7ae385581c7422e1da11913e64bf6c5,v6
20250929,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20250929_BTCUSDT.csv.gz,10592025,efd832ddeed3532b8936520eae0bc39b213abccdb514699313e6e0e6b4778a36,v6
20250929,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20250929_BTCUSDT.csv.gz,36339257,ce29c6610ca801d6506ec495e847af4e9f854a46a1fcc7109fc48a292f159f5c,v6
20251004,COINBASE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/COINBASE_20251004_BTCUSDT.csv.gz,24775365,3f43facb254ac56d12593e62087f663572fe4b52d8e888820fa1e81c0815270f,v6
20251001,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v6/raw/coinapi_oct/BITGET_20251001_BTCUSDT.csv.gz,11363158,84120d738878ca844ee6284470432b8269aee648f4d047072f1fd76444d84a35,v6
