edge,ica_sign_agreement,coef_5s
BINANCE->COINBASE,True,0.1611262893439643
BINANCE->BYBITSPOT,True,0.1682807172435319
BINANCE->BITGET,True,0.1469241952257555
COINBASE->BINANCE,False,0.0865815765751073
COINBASE->BYBITSPOT,True,0.0974318603581124
COINBASE->BITGET,True,0.0822814256698256
BYBITSPOT->BINANCE,False,0.1288097994239936
BYBITSPOT->COINBASE,False,0.1405446427257452
BYBITSPOT->BITGET,True,0.1222189880420081
BITGET->BINANCE,True,0.1441782838451027
BITGET->COINBASE,True,0.1565566326885022
BITGET->BYBITSPOT,True,0.1599631201242966
