edge,lag_s,coef_5s,se_5s,t_5s,p_5s,coef_1s,se_1s,t_1s,p_1s,coef_2s,se_2s,t_2s,p_2s,sign_match_1s,sign_match_2s,micro_pass
BINANCE->COINBASE,5,0.1611262893439643,0.0069242688391528,23.26979109084925,0.0,0.16517376439711934,0.007616695723068081,21.68575067228571,0.0,0.15698682500713526,0.0072704822811104405,21.592353703275684,0.0,True,True,True
BINANCE->BYBITSPOT,5,0.1682807172435319,0.0074051970880196,22.72467771530096,0.0,0.16656246679676473,0.008145716796821561,20.447858789021122,0.0,0.16598560099106033,0.00777545694242058,21.347375751705634,0.0,True,True,True
BINANCE->BITGET,5,0.1469241952257555,0.0073636251754882,19.952698803142777,0.0,0.15127777649623697,0.008099987693037021,18.676297079596754,0.0,0.14967571359580095,0.00773180643426261,19.358440342289256,0.0,True,True,True
COINBASE->BINANCE,5,0.0865815765751073,0.0084823910009646,10.207213575189018,0.0,0.09549236334908127,0.009330630101061062,10.234288822383181,0.0,0.08832257071742955,0.00890651055101283,9.91663011137237,0.0,True,True,True
COINBASE->BYBITSPOT,5,0.0974318603581124,0.0082341645049964,11.832634664876023,0.0,0.09914839805780136,0.00905758095549604,10.946454527424256,0.0,0.1067019793603054,0.00864587273024622,12.341377520747603,0.0,True,True,True
COINBASE->BITGET,5,0.0822814256698256,0.008169121800125,10.072248606767758,0.0,0.06703783496785383,0.008986033980137502,7.460224957532159,1.871836019518014e-13,0.0907594749704718,0.008577577890131251,10.581014376435238,0.0,True,True,True
BYBITSPOT->BINANCE,5,0.1288097994239936,0.0078993067048806,16.30646893915489,0.0,0.12591158033530964,0.00868923737536866,14.490521422769573,0.0,0.13166425735583512,0.008294272040124631,15.87411851442682,0.0,True,True,True
BYBITSPOT->COINBASE,5,0.1405446427257452,0.0071578115555133,19.635141500406004,0.0,0.1372880459198092,0.007873592711064631,17.436518620893427,0.0,0.13703193457798707,0.007515702133288966,18.232752196369997,0.0,True,True,True
BYBITSPOT->BITGET,5,0.1222189880420081,0.0076087192333424,16.063017216672623,0.0,0.1270647599699504,0.008369591156676641,15.18171647710504,0.0,0.12742962958508033,0.00798915519500952,15.950325969969905,0.0,True,True,True
BITGET->BINANCE,5,0.1441782838451027,0.0079568502068161,18.120019869369184,0.0,0.14890836339477675,0.00875253522749771,17.01316927316711,0.0,0.14146770491168828,0.008354692717156905,16.932723883569665,0.0,True,True,True
BITGET->COINBASE,5,0.1565566326885022,0.0072049701872811,21.72897716702137,0.0,0.1926701333166589,0.00792546720600921,24.31025557339679,0.0,0.16254950104283347,0.007565218696645155,21.486424591389156,0.0,True,True,True
BITGET->BYBITSPOT,5,0.1599631201242966,0.007709131181082,20.749824638714333,0.0,0.1692965431663691,0.008480044299190201,19.964110704296203,0.0,0.15819829897058557,0.0080945877401361,19.54371291649322,0.0,True,True,True
