edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,12.0,12.0,12,0.0,12.0,[12]
BINANCE->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
BINANCE->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
COINBASE->BINANCE,1,12.0,12.0,12,0.0,12.0,[12]
COINBASE->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
COINBASE->BITGET,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->BINANCE,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->COINBASE,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BINANCE,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->COINBASE,0,0.0,0.0,0,0.0,0.0,[]
BITGET->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
