from_venue,to_venue,horizon,correlation,raw_p,test_id,bonferroni_p,bh_fdr_10_q,bh_fdr_05_q,effect_size,n_tests,family
binance,coinbase,1,0.04967141530112327,0.22227824312530747,0,1.0,0.2845921439693615,0.2845921439693615,0.04967141530112327,40,pair_horizon
binance,coinbase,5,-0.013826430117118467,0.18361096041714062,1,1.0,0.263112354179299,0.263112354179299,0.013826430117118467,40,pair_horizon
binance,kraken,1,-0.023415337472333597,0.026844247528777843,2,1.0,0.20378757482889517,0.20378757482889517,0.023415337472333597,40,pair_horizon
binance,kraken,5,-0.023413695694918055,0.2611910822747312,3,1.0,0.29021231363859024,0.29021231363859024,0.023413695694918055,40,pair_horizon
binance,okx,1,0.15792128155073915,0.01596950334578271,4,0.6387801338313084,0.20378757482889517,0.20378757482889517,0.15792128155073915,40,pair_horizon
binance,okx,5,0.07674347291529088,0.29127385712697834,5,1.0,0.29619721161415,0.29619721161415,0.07674347291529088,40,pair_horizon
binance,bybit,1,-0.04694743859349521,0.06272924049005918,6,1.0,0.21958560713211925,0.21958560713211925,0.04694743859349521,40,pair_horizon
binance,bybit,5,0.05425600435859647,0.06318730785749581,7,1.0,0.21958560713211925,0.21958560713211925,0.05425600435859647,40,pair_horizon
coinbase,binance,1,0.02419622715660341,0.13526405540621358,8,1.0,0.23938125771214677,0.23938125771214677,0.02419622715660341,40,pair_horizon
coinbase,binance,5,-0.1913280244657798,0.09445645065743215,9,1.0,0.21958560713211925,0.21958560713211925,0.1913280244657798,40,pair_horizon
coinbase,kraken,1,-0.10128311203344238,0.09472194807521325,10,1.0,0.21958560713211925,0.21958560713211925,0.10128311203344238,40,pair_horizon
coinbase,kraken,5,0.03142473325952739,0.11624493455517058,11,1.0,0.23248986911034117,0.23248986911034117,0.03142473325952739,40,pair_horizon
coinbase,okx,1,0.14656487689215542,0.06790539682592432,12,1.0,0.21958560713211925,0.21958560713211925,0.14656487689215542,40,pair_horizon
coinbase,okx,5,-0.02257763004865357,0.15912798713994736,13,1.0,0.2573115618265042,0.2573115618265042,0.02257763004865357,40,pair_horizon
coinbase,bybit,1,-0.05443827245251827,0.1861880070514171,14,1.0,0.263112354179299,0.263112354179299,0.05443827245251827,40,pair_horizon
coinbase,bybit,5,0.01109225897098661,0.059451995869314544,15,1.0,0.21958560713211925,0.21958560713211925,0.01109225897098661,40,pair_horizon
kraken,binance,1,-0.0600638689918805,0.2084275776885255,16,1.0,0.277903436918034,0.277903436918034,0.0600638689918805,40,pair_horizon
kraken,binance,5,-0.02916937497932768,0.13764422318448438,17,1.0,0.23938125771214677,0.23938125771214677,0.02916937497932768,40,pair_horizon
kraken,coinbase,1,-0.0013497224737933921,0.019972671123413333,18,0.7989068449365333,0.20378757482889517,0.20378757482889517,0.0013497224737933921,40,pair_horizon
kraken,coinbase,5,-0.10577109289559004,0.2737029166028468,19,1.0,0.29589504497605057,0.29589504497605057,0.10577109289559004,40,pair_horizon
kraken,okx,1,0.08225449121031891,0.10039621206592916,20,1.0,0.21958560713211925,0.21958560713211925,0.08225449121031891,40,pair_horizon
kraken,okx,5,-0.12208436499710223,0.16081972614156514,21,1.0,0.2573115618265042,0.2573115618265042,0.12208436499710223,40,pair_horizon
kraken,bybit,1,-0.13281860488984307,0.291179542051722,22,1.0,0.29619721161415,0.29619721161415,0.13281860488984307,40,pair_horizon
kraken,bybit,5,0.019686123586912352,0.2347885187747232,23,1.0,0.2845921439693615,0.2845921439693615,0.019686123586912352,40,pair_horizon
okx,binance,1,0.07384665799954104,0.03566282559505665,24,1.0,0.20378757482889517,0.20378757482889517,0.07384665799954104,40,pair_horizon
okx,binance,5,0.01713682811899705,0.0668350301015521,25,1.0,0.21958560713211925,0.21958560713211925,0.01713682811899705,40,pair_horizon
okx,coinbase,1,-0.011564828238824054,0.12271641400994977,26,1.0,0.23374555049514242,0.23374555049514242,0.011564828238824054,40,pair_horizon
okx,coinbase,5,-0.03011036955892888,0.08869121921442981,27,1.0,0.21958560713211925,0.21958560713211925,0.03011036955892888,40,pair_horizon
okx,kraken,1,-0.046063877095978756,0.09147100780934041,28,1.0,0.21958560713211925,0.21958560713211925,0.046063877095978756,40,pair_horizon
okx,kraken,5,0.10571222262189157,0.16738186411589207,29,1.0,0.2575105601782955,0.2575105601782955,0.10571222262189157,40,pair_horizon
okx,bybit,1,0.0324083969394795,0.03161968666713354,30,1.0,0.20378757482889517,0.20378757482889517,0.0324083969394795,40,pair_horizon
okx,bybit,5,-0.038508228041631655,0.29619721161415,31,1.0,0.29619721161415,0.29619721161415,0.038508228041631655,40,pair_horizon
bybit,binance,1,-0.06769220003059588,0.011601413965844696,32,0.4640565586337878,0.20378757482889517,0.20378757482889517,0.06769220003059588,40,pair_horizon
bybit,binance,5,0.06116762888408679,0.2464838142519019,33,1.0,0.289980957943414,0.289980957943414,0.06116762888408679,40,pair_horizon
bybit,coinbase,1,0.1030999522495951,0.23366840053892426,34,1.0,0.2845921439693615,0.2845921439693615,0.1030999522495951,40,pair_horizon
bybit,coinbase,5,0.09312801191161986,0.031472949002886205,35,1.0,0.20378757482889517,0.20378757482889517,0.09312801191161986,40,pair_horizon
bybit,kraken,1,-0.08392175232226386,0.26029999350392213,36,1.0,0.29021231363859024,0.29021231363859024,0.08392175232226386,40,pair_horizon
bybit,kraken,5,-0.03092123758512146,0.19075645677999178,37,1.0,0.263112354179299,0.263112354179299,0.03092123758512146,40,pair_horizon
bybit,okx,1,-0.047917423784529,0.10018487329754203,38,1.0,0.21958560713211925,0.21958560713211925,0.047917423784529,40,pair_horizon
