edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,3.0,3.0,3,0.0,3.0,[3]
BINANCE->BYBITSPOT,1,6.0,6.0,6,0.0,6.0,[6]
BINANCE->BITGET,1,3.0,3.0,3,0.0,3.0,[3]
COINBASE->BINANCE,1,3.0,3.0,3,0.0,3.0,[3]
COINBASE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
COINBASE->BITGET,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->BINANCE,1,6.0,6.0,6,0.0,6.0,[6]
BYBITSPOT->COINBASE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BINANCE,1,3.0,3.0,3,0.0,3.0,[3]
BITGET->COINBASE,0,0.0,0.0,0,0.0,0.0,[]
BITGET->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
