edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,23.0,23.0,23,0.0,23.0,[23]
BINANCE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
BINANCE->BITGET,0,0.0,0.0,0,0.0,0.0,[]
COINBASE->BINANCE,1,23.0,23.0,23,0.0,23.0,[23]
COINBASE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
COINBASE->BITGET,1,2.0,2.0,2,0.0,2.0,[2]
BYBITSPOT->BINANCE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->COINBASE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->BITGET,1,3.0,3.0,3,0.0,3.0,[3]
BITGET->BINANCE,0,0.0,0.0,0,0.0,0.0,[]
BITGET->COINBASE,1,2.0,2.0,2,0.0,2.0,[2]
BITGET->BYBITSPOT,1,3.0,3.0,3,0.0,3.0,[3]
