edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,11.0,11.0,11,0.0,11.0,[11]
BINANCE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
BINANCE->BITGET,1,3.0,3.0,3,0.0,3.0,[3]
COINBASE->BINANCE,1,11.0,11.0,11,0.0,11.0,[11]
COINBASE->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
COINBASE->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->BINANCE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->COINBASE,1,1.0,1.0,1,0.0,1.0,[1]
BYBITSPOT->BITGET,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BINANCE,1,3.0,3.0,3,0.0,3.0,[3]
BITGET->COINBASE,1,1.0,1.0,1,0.0,1.0,[1]
BITGET->BYBITSPOT,1,1.0,1.0,1,0.0,1.0,[1]
