edge,total_runs,mean_run_length,median_run_length,max_run_length,run_length_variance,run_length_95th_pct,runs
BINANCE->COINBASE,1,22.0,22.0,22,0.0,22.0,[22]
BINANCE->BYBITSPOT,0,0.0,0.0,0,0.0,0.0,[]
BINANCE->BITGET,1,6.0,6.0,6,0.0,6.0,[6]
COINBASE->BINANCE,1,22.0,22.0,22,0.0,22.0,[22]
COINBASE->BYBITSPOT,1,2.0,2.0,2,0.0,2.0,[2]
COINBASE->BITGET,1,2.0,2.0,2,0.0,2.0,[2]
BYBITSPOT->BINANCE,0,0.0,0.0,0,0.0,0.0,[]
BYBITSPOT->COINBASE,1,2.0,2.0,2,0.0,2.0,[2]
BYBITSPOT->BITGET,1,2.0,2.0,2,0.0,2.0,[2]
BITGET->BINANCE,1,6.0,6.0,6,0.0,6.0,[6]
BITGET->COINBASE,1,2.0,2.0,2,0.0,2.0,[2]
BITGET->BYBITSPOT,1,2.0,2.0,2,0.0,2.0,[2]
