date,airline,airline_name,price,market_share,day_of_week,is_weekend,is_holiday,demand_multiplier,coordination_strength,coordination_period,market_event,event_impact,price_change,price_change_pct,market_min_price,market_max_price,market_mean_price,market_std_price,price_vs_market,price_vs_market_pct,market_spread,price_rank
2023-01-01,BA,British Airways,244.97,0.35,6,True,False,1.2,0.0,competitive,normal,0.0,,,195.23,244.97,222.325,22.01549530065888,22.64500000000001,0.10185539188125498,49.74000000000001,4.0
2023-01-01,EI,Aer Lingus,234.48,0.2,6,True,False,1.2,0.0,competitive,normal,0.0,,,195.23,244.97,222.325,22.01549530065888,12.155000000000001,0.054672214100978306,49.74000000000001,3.0
2023-01-01,FR,Ryanair,195.23,0.2,6,True,False,1.2,0.0,competitive,normal,0.0,,,195.23,244.97,222.325,22.01549530065888,-27.095,-0.12187113460024739,49.74000000000001,1.0
2023-01-01,VS,Virgin Atlantic,214.62,0.25,6,True,False,1.2,0.0,competitive,normal,0.0,,,195.23,244.97,222.325,22.01549530065888,-7.704999999999984,-0.034656471381985764,49.74000000000001,2.0
2023-01-02,BA,British Airways,197.66,0.35,0,False,False,1.0,0.0,competitive,normal,0.0,-47.31,-0.19312568885986037,157.67,205.79,184.695,21.547869964337547,12.965000000000003,0.07019681095860746,48.120000000000005,3.0
2023-01-02,EI,Aer Lingus,205.79,0.2,0,False,False,1.0,0.0,competitive,normal,0.0,-28.689999999999998,-0.12235585124530879,157.67,205.79,184.695,21.547869964337547,21.095,0.11421532797314492,48.120000000000005,4.0
2023-01-02,FR,Ryanair,157.67,0.2,0,False,False,1.0,0.0,competitive,normal,0.0,-37.56,-0.19238846488756856,157.67,205.79,184.695,21.547869964337547,-27.025000000000006,-0.1463223151682504,48.120000000000005,1.0
2023-01-02,VS,Virgin Atlantic,177.66,0.25,0,False,False,1.0,0.0,competitive,normal,0.0,-36.96000000000001,-0.17221135029354206,157.67,205.79,184.695,21.547869964337547,-7.034999999999997,-0.03808982376350197,48.120000000000005,2.0
2023-01-03,BA,British Airways,195.31,0.35,1,False,False,1.0,0.0,competitive,normal,0.0,-2.3499999999999943,-0.011889102499241133,145.34,195.31,177.8625,22.179253631866576,17.44749999999999,0.09809543889240278,49.97,4.0
2023-01-03,EI,Aer Lingus,185.37,0.2,1,False,False,1.0,0.0,competitive,normal,0.0,-20.419999999999987,-0.0992273677049419,145.34,195.31,177.8625,22.179253631866576,7.507499999999993,0.042209572000843305,49.97,2.0
