timestamp,exchange,symbol,bid_price,ask_price,bid_volume,ask_volume,spread,mid_price,coordination_strength
2025-09-07 19:04:18.301626,binance,BTC/USD,51486.14,51490.84,1231.91,1223.23,0.91,49988.83,0.3
2025-09-07 19:05:18.301626,binance,BTC/USD,51409.14,51412.33,383.4,392.12,0.62,49913.33,0.3
2025-09-07 19:06:18.301626,binance,BTC/USD,51406.12,51409.96,46.89,47.02,0.75,49910.72,0.3
2025-09-07 19:07:18.301626,binance,BTC/USD,51371.0,51374.18,1028.41,1436.64,0.62,49876.3,0.3
2025-09-07 19:08:18.301626,binance,BTC/USD,51381.21,51385.3,88.3,100.7,0.79,49886.66,0.3
2025-09-07 19:09:18.301626,binance,BTC/USD,51370.01,51374.62,597.07,650.76,0.9,49876.03,0.3
2025-09-07 19:10:18.301626,binance,BTC/USD,51331.56,51337.05,2756.92,2837.17,1.07,49839.13,0.3
2025-09-07 19:11:18.301626,binance,BTC/USD,51353.14,51360.46,288.16,258.81,1.43,49860.97,0.3
2025-09-07 19:12:18.301626,binance,BTC/USD,51364.64,51374.13,454.33,527.25,1.85,49873.19,0.3
2025-09-07 19:13:18.301626,binance,BTC/USD,51357.27,51360.88,1124.32,913.73,0.7,49863.18,0.3
2025-09-07 19:14:18.301626,binance,BTC/USD,51275.46,51281.53,460.06,423.86,1.18,49784.95,0.3
2025-09-07 19:15:18.301626,binance,BTC/USD,51391.03,51394.11,972.81,936.22,0.6,49895.7,0.3
2025-09-07 19:16:18.301626,binance,BTC/USD,51377.75,51382.42,408.1,397.69,0.91,49883.58,0.3
2025-09-07 19:17:18.301626,binance,BTC/USD,51407.38,51411.46,121.25,149.24,0.8,49912.06,0.3
2025-09-07 19:18:18.301626,binance,BTC/USD,51394.51,51397.39,1459.01,1266.65,0.56,49898.98,0.3
2025-09-07 19:19:18.301626,binance,BTC/USD,51385.38,51391.36,3210.6,3328.78,1.16,49891.62,0.3
2025-09-07 19:20:18.301626,binance,BTC/USD,51444.47,51449.33,498.23,398.48,0.94,49948.44,0.3
2025-09-07 19:21:18.301626,binance,BTC/USD,51388.83,51392.51,790.26,786.21,0.72,49893.86,0.3
2025-09-07 19:22:18.301626,binance,BTC/USD,51408.34,51417.74,741.29,1004.75,1.83,49915.57,0.3
2025-09-07 19:23:18.301626,binance,BTC/USD,51416.87,51421.77,1493.57,1434.57,0.95,49921.67,0.3
2025-09-07 19:24:18.301626,binance,BTC/USD,49940.44,49950.26,2135.51,2168.71,1.97,49945.35,0.1
