ts,firm_id,price,unit,src,confidence,hash
2024-01-01T00:00:00+00:00,FNB,137.4,bps,derived,95,ddc246ca9432df80ffeab5a29e2a16d8e4d633c2c906f1aa444eab15a52be3f6
2024-01-01T00:00:00+00:00,NED,147.6,bps,derived,95,50112b84641268f44cc62869a26059822633dd74d545aa8b6f6ee65a1f252bfe
2024-01-02T00:00:00+00:00,FNB,139.1,bps,derived,95,6dad68a36696787f9981d842be7c5ff85393c3faf092c5cd08aac5905331bee5
2024-01-02T00:00:00+00:00,NED,149.1,bps,derived,95,f5271a5f4e36557375cdc8ded842462d284011c6236cf0cad7d4381914689a6f
2024-01-03T00:00:00+00:00,FNB,141.7,bps,derived,95,26d52635d85c6d13cb4cc5a5fce0a06c73efc063042cf0d48dd5fdaca97fb3c6
2024-01-03T00:00:00+00:00,NED,145.2,bps,derived,95,1f92e4472b5f13ba83e6e03c5a123194f73257ec3c621abc771fdc2a081ede67
2024-01-04T00:00:00+00:00,FNB,145.4,bps,derived,95,0a2241495b7d52de10f53eb03c506caf995c4f95e51b147e579a17c836d978eb
2024-01-04T00:00:00+00:00,NED,146.2,bps,derived,95,f0f06dda1d31207fdbeec18d50a393e8106c5c46ebfcd652a6c7e4232151a07a
2024-01-05T00:00:00+00:00,FNB,139.8,bps,derived,95,952523ac3968e6b7a2176a4348bb3259aefc0ec310c08e73ee1c594d5a586562
2024-01-05T00:00:00+00:00,NED,155.2,bps,derived,95,a3f0a0f04b997ab040b45401d4a347b1d91ca42af9dbea97ae3c54bf4a29026c
2024-01-06T00:00:00+00:00,FNB,139.2,bps,derived,95,a481cd18f0b09327912c58e70b5dd6405e92986d4e09a7e6294f72c44004595d
2024-01-06T00:00:00+00:00,NED,145.4,bps,derived,95,37c0f91886e8d6789404cade7bbc093c340df5d35f662f22264ce63992917495
2024-01-07T00:00:00+00:00,FNB,144.6,bps,derived,95,c3be4e25b15e2346710a50554ba9abde9c1ae5fe3899e3f3bd93a182d00033dc
2024-01-07T00:00:00+00:00,NED,146.8,bps,derived,95,27a6dab7786797333884903757be5ee941084d495b93ca135a5ab6c7c556f63a
2024-01-08T00:00:00+00:00,FNB,136.0,bps,derived,95,ef84004493cb8e7b5a0efb55a8b3a6103fb6e1c2fdf2cb7d0ffbca0ea9c6e1e8
2024-01-08T00:00:00+00:00,NED,155.3,bps,derived,95,de9cb505ef7aaf2e213f987f7459ce9475dfc5f6d019a5bf061f7c25176b76c2
2024-01-09T00:00:00+00:00,FNB,138.1,bps,derived,95,eaf18b701151d54d6c4a4ac7ffef4595ed4148c3105eebdb8de06ac379ebb178
